full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,bmi
Miles Bridges,76,#0,Charlotte Hornets,F,1998-03-21,1.98,102.1,3755400,USA,2018,1,12,Michigan State,NBA2k20,26.04326089174574
Jalen Brunson,76,#13,Dallas Mavericks,G,1996-08-31,1.85,86.2,1416852,USA,2018,2,33,Villanova,NBA2k20,25.18626734842951
Kentavious Caldwell-Pope,76,#1,Los Angeles Lakers,G,1993-02-18,1.96,92.5,8089282,USA,2013,1,8,Georgia,NBA2k20,24.078508954602253
Jae Crowder,76,#99,Miami Heat,F,1990-07-06,1.98,106.6,7815533,USA,2012,2,34,Marquette,NBA2k20,27.191102948678704
Dewayne Dedmon,76,#0,Atlanta Hawks,C,1989-08-12,2.13,108.4,13333334,USA,2013,0,0,USC,NBA2k20,23.892966563071706
Gorgui Dieng,76,#0,Memphis Grizzlies,C,1990-01-18,2.08,104.3,16229213,Senegal,2013,1,21,Louisville,NBA2k20,24.107803254437865
Gerald Green,76,#0,missing_,F-G,1986-01-26,1.98,87.1,2564753,USA,2005,1,18,missing_,NBA2k20,22.217120701969186
Jeff Green,76,#34,Houston Rockets,F,1986-08-28,2.03,106.6,3405180,USA,2007,1,5,Georgetown,NBA2k20,25.86813560144629
Rodney Hood,76,#5,Portland Trail Blazers,F,1992-10-20,2.03,94.3,5718000,USA,2014,1,23,Duke,NBA2k20,22.883350724356337
Kevin Huerter,76,#3,Atlanta Hawks,G,1998-08-27,2.01,86.2,2636280,USA,2018,1,19,Maryland,NBA2k20,21.336105541942036
Ersan Ilyasova,76,#7,Milwaukee Bucks,F,1987-05-15,2.06,106.6,7000000,Turkey,2005,2,36,missing_,NBA2k20,25.120180978414552
Jonathan Isaac,76,#1,Orlando Magic,F,1997-10-03,2.11,93.0,5806440,USA,2017,1,6,Florida State,NBA2k20,20.88901866534894
Josh Jackson,76,#20,Memphis Grizzlies,F,1997-02-10,2.03,92.1,7059480,USA,2017,1,4,Kansas,NBA2k20,22.349486762600407
Frank Kaminsky,76,#8,Phoenix Suns,F-C,1993-04-04,2.13,104.8,4767000,USA,2015,1,9,Wisconsin,NBA2k20,23.099473208578548
Michael Kidd-Gilchrist,76,#0,Dallas Mavericks,F,1993-09-26,1.98,105.2,12784359,USA,2012,1,2,Kentucky,NBA2k20,26.83399653096623
Kevin Knox,76,#20,New York Knicks,F,1999-08-11,2.01,97.5,4380120,USA,2018,1,9,Kentucky,NBA2k20,24.1330660132175
Meyers Leonard,76,#0,Miami Heat,C,1992-02-27,2.13,111.1,11286515,USA,2012,1,11,Illinois,NBA2k20,24.48808657894157
Wesley Matthews,76,#9,Milwaukee Bucks,G,1986-10-14,1.93,99.8,2564753,USA,2009,0,0,Marquette,NBA2k20,26.792665574914764
Emmanuel Mudiay,76,#8,Utah Jazz,G,1996-03-05,1.91,86.2,1737145,Democratic Republic of the Congo,2015,1,7,missing_,NBA2k20,23.628738247306817
Jahlil Okafor,76,#8,New Orleans Pelicans,C,1995-12-15,2.08,122.5,1702486,USA,2015,1,3,Duke,NBA2k20,28.314534023668635
Elfrid Payton,76,#6,New York Knicks,G,1994-02-22,1.91,83.9,8000000,USA,2014,1,10,Louisiana,NBA2k20,22.998273073654783
Michael Porter,76,#1,Denver Nuggets,F,1998-06-29,2.08,97.5,3389400,USA,2018,1,14,Missouri,NBA2k20,22.53605769230769
Austin Rivers,76,#25,Houston Rockets,G,1992-08-01,1.91,90.7,2174310,USA,2012,1,10,Duke,NBA2k20,24.862257065321675
Andre Roberson,76,#21,Oklahoma City Thunder,G-F,1991-12-04,2.01,93.4,10740740,USA,2013,1,26,Colorado,NBA2k20,23.118239647533485
Rajon Rondo,76,#9,Los Angeles Lakers,G,1986-02-22,1.85,84.4,2564753,USA,2006,1,21,Kentucky,NBA2k20,24.660336011687363
Landry Shamet,76,#20,Los Angeles Clippers,G,1997-03-13,1.93,81.6,1995120,USA,2018,1,26,Wichita State,NBA2k20,21.90662836586217
Daniel Theis,76,#27,Boston Celtics,C,1992-04-04,2.03,97.5,5000000,Germany,2013,0,0,missing_,NBA2k20,23.65988012327405
Isaiah Thomas,76,#0,missing_,G,1989-02-07,1.75,83.9,2320044,USA,2011,2,60,Washington,NBA2k20,27.39591836734694
Dion Waiters,76,#11,Los Angeles Lakers,G,1991-12-10,1.91,95.3,12475385,USA,2012,1,4,Syracuse,NBA2k20,26.12318741262575
